City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Porangatu,BR,71.82,broken clouds,-13.4408,-49.1486,Wembley Park Hotel
255,Caravelas,BR,74.17,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
263,Sur,OM,71.64,clear sky,22.5667,59.5289,Sur Plaza Hotel
265,Rio Gallegos,AR,60.85,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
273,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
280,Socorro,US,70.79,clear sky,31.6546,-106.3033,guarderia imss papalote
285,Ambulu,ID,75.83,light rain,-8.345,113.6058,Hotel Ambulu Jember
288,Mobaye,CF,72.36,overcast clouds,4.319,21.1786,
292,Gadu,PH,71.11,broken clouds,17.6292,121.6105,
294,Snyder,US,73.74,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
297,San Luis,AR,66.58,broken clouds,-33.295,-66.3356,Huarpes Hotel
314,Yako,BF,74.48,clear sky,12.9667,-2.2667,CADAAY
319,Asosa,ET,65.01,clear sky,10.0667,34.5333,Blendana Hotel Assosa
329,Muisne,EC,74.66,overcast clouds,0.6,-80.0333,Quinta Samay
331,Airai,TL,68.88,overcast clouds,-8.9266,125.4092,Juvinal Martin
335,Yaring,TH,75.29,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
336,Pisco,PE,68.05,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
342,Kutum,SD,62.33,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
344,Wum,CM,68.99,overcast clouds,6.3833,10.0667,Wum Council Hall
354,Ishigaki,JP,73.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
355,Lewisville,US,75.76,scattered clouds,33.0462,-96.9942,Best Western Plus Hotel Lewisville Flower Mound
356,Kiama,AU,71.26,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
358,Esperance,AU,64.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
359,Antalaha,MG,73.47,light rain,-14.9003,50.2788,Hotel Vitasoa
361,Salalah,OM,70.81,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
