City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tual,ID,2021-12-04 00:43:19,-5.6667,132.75,83.68,74,24,5.12
68,Thunder Bay,CA,2021-12-04 00:43:19,48.4001,-89.3168,27.0,100,40,2.3
69,Kapaa,US,2021-12-04 00:43:19,22.0752,-159.319,78.78,65,1,5.99
70,Sistranda,NO,2021-12-04 00:43:20,63.7256,8.834,25.9,63,100,12.06
71,Bethel,US,2021-12-04 00:43:20,41.3712,-73.414,39.49,58,1,1.01
72,Paola,IT,2021-12-04 00:43:20,39.3599,16.0396,51.01,78,100,11.59
73,Manturovo,RU,2021-12-04 00:43:21,58.3353,44.7619,32.11,98,100,8.48
74,La Ronge,CA,2021-12-04 00:43:21,55.1001,-105.2842,8.85,72,90,8.05
75,Port Elizabeth,ZA,2021-12-04 00:43:21,-33.918,25.5701,59.29,88,0,3.44
76,Mitsamiouli,KM,2021-12-04 00:43:22,-11.3847,43.2844,80.26,74,32,12.01
77,San Policarpo,PH,2021-12-04 00:43:22,12.1791,125.5072,79.29,74,100,16.53
78,Hirara,JP,2021-12-04 00:43:23,24.8,125.2833,67.86,55,75,12.66
79,Manggar,ID,2021-12-04 00:43:23,-2.8833,108.2667,80.98,83,100,11.07
80,Nantucket,US,2021-12-04 00:38:54,41.2835,-70.0995,41.11,50,1,13.8
81,Geraldton,AU,2021-12-04 00:43:23,-28.7667,114.6,88.21,25,0,18.41
82,Mahdasht,IR,2021-12-04 00:43:24,35.7299,50.8111,39.42,74,0,9.22
83,Ribeira Grande,PT,2021-12-04 00:43:24,38.5167,-28.7,65.39,81,100,11.77
84,Korla,CN,2021-12-04 00:39:12,41.7597,86.1469,24.49,56,96,2.04
85,Shelburne,CA,2021-12-04 00:43:25,44.0787,-80.2041,29.75,82,89,5.88
86,Guerrero Negro,MX,2021-12-04 00:43:25,27.9769,-114.0611,63.7,78,83,13.69
87,Moses Lake,US,2021-12-04 00:43:25,47.1301,-119.2781,41.68,56,90,9.22
88,Acarau,BR,2021-12-04 00:43:26,-2.8856,-40.12,80.58,81,76,14.32
89,Batagay-Alyta,RU,2021-12-04 00:43:26,67.8006,130.4114,-42.47,93,15,2.57
90,Port Alfred,ZA,2021-12-04 00:43:26,-33.5906,26.891,64.36,79,100,5.79
91,Bengkulu,ID,2021-12-04 00:43:27,-3.8004,102.2655,79.65,79,100,3.09
92,Waingapu,ID,2021-12-04 00:44:27,-9.6567,120.2641,83.46,74,100,3.06
